Paper;PaperID;Empirical Exp./Analysis;human?;"Averaged or single task? (s: single tasks; a: averaged; na = not applicable)";Explanation;Task (to evaluate whether aggregation makes sense or not)
An Empirical Study on the Impact of C++ Lambdas and Programmer Experience;ICSE2016_79;yes;yes;both;Controlled study, C++ lambdas vs. iterators. Two groups, one using lambdas, one iterators. Four tasks (first was a warmup). Individual tasks and averages are presented/discussed;Implement function with lambda/iterator
Belief & Evidence in Empirical Software Engineering;ICSE2016_8;yes;yes;na;Qualitative study;
Understanding and Fixing Multiple Language Interoperability Issues: The C/Fortran Case;ICSE2016_80;yes;no;;;
BigDebug: Debugging Primitives for Interactive Big Data Processing in Spark;ICSE2016_81;yes;no;;;
Debugging for Reactive Programming;ICSE2016_82;yes;yes;both;Controlled experiment to evaluate a debugger tool for Reactive Programming. Stats done on group, but individual tasks are discussed;Four questions regarding code behavior, two bug fix tasks
Revisit of Automatic Debugging via Human Focus-Tracking Analysis;ICSE2016_83;yes;yes;av;Controlled online experiment investigating whether Spectrum-Based Fault Localization is helpful for developers. Multiple programs, but every participant got a random two. Only averages are discussed;Fix bug
RETracer: Triaging Crashes by Reverse Execution from Partial Memory Dumps;ICSE2016_84;yes;no;;;
"Are ""Non-functional"" Requirements really Non-functional? An Investigation of Non-functional Requirements in Practice";ICSE2016_85;yes;no;;;
Probing for Requirements Knowledge to Stimulate Architectural Thinking;ICSE2016_86;yes;yes;na;interviews/online survey;
Optimizing Selection of Competing Services with Probabilistic Hierarchical Refinement;ICSE2016_87;yes;no;;;
Risk-Driven Revision of Requirements Models;ICSE2016_88;yes;no;;;
"Discovering ""Unknown Known"" Security Requirements";ICSE2016_89;yes;no;;;
Crowdsourcing Program Preconditions via a Classification Game;ICSE2016_9;yes;no;;;
Behavioral Log Analysis with Statistical Guarantees;ICSE2016_90;yes;no;;;
Efficient Large-Scale Trace Checking Using MapReduce;ICSE2016_91;yes;no;;;
Feedback-Directed Instrumentation for Deployed JavaScript Applications;ICSE2016_92;yes;no;;;
DoubleTake: Fast and Precise Error Detection via Evidence-Based Dynamic Analysis;ICSE2016_93;yes;no;;;
Automated Partitioning of Android Applications for Trusted Execution Environments;ICSE2016_94;yes;no;;;
"""Jumping Through Hoops"": Why do Java Developers Struggle with Cryptography APIs?";ICSE2016_95;yes;yes;na;amongst others: survey of developers;
Finding Security Bugs in Web Applications Using a Catalog of Access Control Patterns;ICSE2016_96;yes;no;;;
Reference Hijacking: Patching, Protecting and Analyzing on Unmodified and Non-rooted Android Devices;ICSE2016_97;yes;no;;;
The Emerging Role of Data Scientists on Software Development Teams;ICSE2016_98;yes;yes;na;Interviews;
Building a Theory of Job Rotation in Software Engineering from an Instrumental Case Study;ICSE2016_99;yes;yes;na;qualitative study;
Recommending and Localizing Change Requests for Mobile Apps Based on User Reviews;ICSE2017_1;yes;yes?;na;interviews as evaluation for the developed tool;
Search-Driven String Constraint Solving for Vulnerability Detection;ICSE2017_10;yes;no;;;
A Guided Genetic Algorithm for Automated Crash Reproduction;ICSE2017_11;yes;no;;;
Stochastic Optimization of Program Obfuscation;ICSE2017_12;yes;yes;av;Evaluated obfuscation tool with developers, same task for 10 snippets, result is discussed as average;
ZenIDS: Introspective Intrusion Detection for PHP Applications;ICSE2017_13;yes;no;;;
Statically Checking Web API Requests in JavaScript;ICSE2017_14;yes;no;;;
On Cross-Stack Configuration Errors;ICSE2017_15;yes;no;;;
Efficient Detection of Thread Safety Violations via Coverage-Guided Generation of Concurrent Tests;ICSE2017_16;yes;no;;;
Analyzing APIs Documentation and Code to Detect Directive Defects;ICSE2017_17;yes;no;;;
RClassify: Classifying Race Conditions in Web Applications via Deterministic Replay;ICSE2017_18;yes;no;;;
Repairing Event Race Errors by Controlling Nondeterminism;ICSE2017_19;yes;no;;;
Machine Learning-Based Detection of Open Source License Exceptions;ICSE2017_2;yes;no;;;
Semantically Enhanced Software Traceability Using Deep Learning Techniques;ICSE2017_20;yes;no;;;
Making Malory Behave Maliciously: Targeted Fuzzing of Android Execution Environments;ICSE2017_21;yes;no;;;
A SEALANT for Inter-App Security Holes in Android;ICSE2017_22;yes;yes;av;"Used human study (and survey) to evaluate tool. Participants were asked to do 20 tasks across four ""types"", results are discussed on the basis types";
An Efficient, Robust, and Scalable Approach for Analyzing Interacting Android Apps;ICSE2017_23;yes;no;;;
LibD: Scalable and Precise Third-Party Library Detection in Android Markets;ICSE2017_24;yes;no;;;
Analysis and Testing of Notifications in Android Wear Applications;ICSE2017_25;yes;no;;;
Adaptive Unpacking of Android Apps;ICSE2017_26;yes;no;;;
Performance Diagnosis for Inefficient Loops;ICSE2017_27;yes;no;;;
An Unsupervised Approach for Discovering Relevant Tutorial Fragments for APIs;ICSE2017_28;yes;no;;;
How Do Developers Fix Cross-Project Correlated Bugs? A Case Study on the GitHub Scientific Python Ecosystem;ICSE2017_29;yes;yes;na;Qualtitative study, survey on cross-project bugs;
Software Development Waste;ICSE2017_3;yes;yes;na;"Qualitative study: open-ended interviews with developers to understand software development ""waste""";
Feedback-Based Debugging;ICSE2017_30;yes;yes;s;User study to evaluate debugging tool, two groups, each group got three tasks. Results are discussed on a task-basis;Find bug in code
Learning Syntactic Program Transformations from Examples;ICSE2017_31;yes;no;;;
Precise Condition Synthesis for Program Repair;ICSE2017_32;yes;no;;;
Heuristically Matching Solution Spaces of Arithmetic Formulas to Efficiently Reuse Solutions;ICSE2017_33;yes;no;;;
Exploring API Embedding for API Usages and Applications;ICSE2017_34;yes;no;;;
Unsupervised Software-Specific Morphological Forms Inference from Informal Discussions;ICSE2017_35;yes;yes;av;four participants evaluated 400 abbr. and 800 synonyms, only as average;
SPAIN: Security Patch Analysis for Binaries towards Understanding the Pain and Pills;ICSE2017_36;yes;no;;;
Travioli: A Dynamic Analysis for Detecting Data-Structure Traversals;ICSE2017_37;yes;no;;;
ProEva: Runtime Proactive Performance Evaluation Based on Continuous-Time Markov Chains;ICSE2017_38;yes;no;;;
Detecting User Story Information in Developer-Client Conversations to Generate Extractive Summaries;ICSE2017_39;yes;yes;na;qualtitative study;
Becoming Agile: A Grounded Theory of Agile Transitions in Practice;ICSE2017_4;yes;yes;na;Grounded-theory approach, interviewed developers on agile development;
Glacier: Transitive Class Immutability for Java;ICSE2017_40;yes;yes;s;Evaluation of an alternative to Java's final to declare immutibility, Participants were asked to execute four tasks, which were discussed individually.;Make specific things immutable
Challenges for Static Analysis of Java Reflection - Literature Review and Empirical Study;ICSE2017_41;yes;no;;;
Machine-Learning-Guided Selectively Unsound Static Analysis;ICSE2017_42;yes;no;;;
How Good Is a Security Policy against Real Breaches? A HIPAA Case Study;ICSE2017_43;yes;no;;;
Adaptive Coverage and Operational Profile-Based Testing for Reliability Improvement;ICSE2017_44;yes;no;;;
RADAR: A Lightweight Tool for Requirements and Architecture Decision Analysis;ICSE2017_45;yes;no;;;
PEoPL: Projectional Editing of Product Lines;ICSE2017_46;yes;no;;;
Do Developers Read Compiler Error Messages?;ICSE2017_47;yes;yes;s;Eye tracking study of developers reading compiler errors, results are discussed presented for each individual task;Find reasonable solution to fix defect/compiler error
A General Framework for Dynamic Stub Injection;ICSE2017_48;yes;no;;;
An Empirical Study on Mutation, Statement and Branch Coverage Fault Revelation That Avoids the Unreliable Clean Program Assumption;ICSE2017_49;yes;no;;;
Can Latent Topics in Source Code Predict Missing Architectural Tactics?;ICSE2017_5;yes;no;;;
Clone Refactoring with Lambda Expressions;ICSE2017_50;yes;no;;;
Evaluating and Improving Fault Localization;ICSE2017_51;yes;no;;;
Syntactic and Semantic Differencing for Combinatorial Models of Test Designs;ICSE2017_52;yes;yes;av;Evaluation of semantic and syntactical model diffs depending on expertise, results are discussed on average (but there were only two models);Comprehend model differences, was checked with questions regarding semantics and syntactics
Balancing Soundness and Efficiency for Practical Testing of Configurable Systems;ICSE2017_53;yes;no;;;
Automatic Text Input Generation for Mobile Testing;ICSE2017_54;yes;no;;;
A Test-Suite Diagnosability Metric for Spectrum-Based Fault Localization Approaches;ICSE2017_55;yes;no;;;
Automated Transplantation and Differential Testing for Clones;ICSE2017_56;yes;no;;;
Code Defenders: Crowdsourcing Effective Tests and Subtle Mutants with a Mutation Testing Game;ICSE2017_57;yes;yes;both;Gamified writing tests for more enjoyment, participants used the tool. Table 2 contains single task values, but discussion is on averages;Write tests/mutants with the developed tool/online game
Optimizing Test Placement for Module-Level Regression Testing;ICSE2017_58;yes;yes;na;Asked for developers' on their tool;
Learning to Prioritize Test Programs for Compiler Testing;ICSE2017_59;yes;no;;;
From Diversity by Numbers to Diversity as Process: Supporting Inclusiveness in Software Development Teams with Brainstorming;ICSE2017_6;yes;yes;na;combination of survey and interviews to understand being a minorty/brainstorming;
Characterizing and Detecting Anti-Patterns in the Logging Code;ICSE2017_60;yes;no;;;
What Causes My Test Alarm? Automatic Cause Analysis for Test Alarms in System and Integration Testing;ICSE2017_61;yes;no;;;
Symbolic Model Extraction for Web Application Verification;ICSE2017_62;yes;no;;;
UML Diagram Refinement (Focusing on Class-and Use Case Diagrams);ICSE2017_63;yes;no;;;
Fuzzy Fine-Grained Code-History Analysis;ICSE2017_64;yes;no;;;
To Type or Not to Type: Quantifying Detectable Bugs in JavaScript;ICSE2017_65;yes;no;;;
The Evolution of Continuous Experimentation in Software Product Development: From Data to a Data-Driven Organization at Scale;ICSE2017_66;yes;yes;na;qualitative study;
Automated Refactoring of Legacy Java Software to Default Methods;ICSE2017_67;yes;no;;;
Supporting Software Developers with a Holistic Recommender System;ICSE2017_68;yes;yes;av;four different tasks to be implemented with or without a helper/recommender tool. Discussed on averages.;Feature implementation
Classifying Developers into Core and Peripheral: An Empirical Study on Count and Network Metrics;ICSE2017_7;yes;yes;na;qualitative study: online survey;
Decoding the Representation of Code in the Brain: An fMRI Study of Code Review and Expertise;ICSE2017_8;yes;yes;av;fMRI study compared program comprehension vs. prose reading vs. pull request on group basis with ML. Averages per task group.;program comprehension, pull request, prose change
Understanding the Impressions, Motivations, and Barriers of One Time Code Contributors to FLOSS Projects: A Survey;ICSE2017_9;yes;yes;na;online survey regarding one time commit to open-source project: reasons for it;
Self-Hiding Behavior in Android Apps: Detection and Characterization;ICSE2018_1;yes;no;;;
Secure Coding Practices in Java: Challenges and Vulnerabilities;ICSE2018_10;yes;no;;;
Identifying Features in Forks;ICSE2018_100;yes;yes;na;Qualitatively evaluate tool for fork-based feature development (interviews);
Large-Scale Analysis of Framework-Specific Exceptions in Android Apps;ICSE2018_101;yes;no;;;
A Static Verification Framework for Message Passing in Go Using Behavioural Types;ICSE2018_102;yes;no;;;
HireBuild: An Automatic Approach to History-Driven Repair of Build Scripts;ICSE2018_103;yes;no;;;
FaCoY – A Code-to-Code Search Engine;ICSE2018_104;yes;no;;;
RFC-Directed Differential Testing of Certificate Validation in SSL/TLS Implementations;ICSE2018_105;yes;no;;;
Open Source Barriers to Entry, Revisited: A Sociotechnical Perspective;ICSE2018_11;yes;yes;na;field study;
Deep Code Search;ICSE2018_12;yes;no;;;
Repairing Crashes in Android Apps;ICSE2018_13;yes;no;;;
Automated Repair of Mobile Friendly Problems in Web Pages;ICSE2018_14;yes;yes;na;survey to evaluate redesigned mobile-friendly websites;
Towards Optimal Concolic Testing;ICSE2018_15;yes;no;;;
Towards Practical Program Repair with On-demand Candidate Generation;ICSE2018_16;yes;no;;;
Statistical Errors in Software Engineering Experiments: A Preliminary Literature Review;ICSE2018_17;yes;no;;;
Programming Not Only by Example;ICSE2018_18;yes;yes;s;Results, statistics, discussion of individual tasks;Programming by example, iteratively improved by feedback
Adding Sparkle to Social Coding: An Empirical Study of Repository Badges in the npm Ecosystem;ICSE2018_19;yes;yes;na;survey;
To Distribute or Not to Distribute? Why Licensing Bugs Matter;ICSE2018_2;yes;no;;;
Accurate and Efficient Refactoring Detection in Commit History;ICSE2018_20;yes;no;;;
Roles and Impacts of Hands-on Software Architects in Five Industrial Case Studies;ICSE2018_21;yes;yes;na;interviews;
The Evolution of Requirements Practices in Software Startups;ICSE2018_22;yes;yes;na;grounded theory, interviews, observations, …;
A Large-Scale Empirical Study on the Effects of Code Obfuscations on Android Apps and Anti-Malware Products;ICSE2018_23;yes;no;;;
A Combinatorial Approach for Exposing Off-Nominal Behaviors;ICSE2018_24;yes;no;;;
Generalized Data Structure Synthesis;ICSE2018_25;yes;no;;;
Testing Vision-Based Control Systems Using Learnable Evolutionary Algorithms;ICSE2018_26;yes;no;;;
Multi-granular Conflict and Dependency Analysis in Software Engineering Based on Graph Transformation;ICSE2018_27;yes;yes;av;User study to evaluate coarse vs. fine granuliaty in conflicts and dependencies, cross-over design, only averages are presented/discussed;Comprehension tasks based on the conflict analysis
When Not to Comment: Questions and Tradeoffs with API Documentation for C++ Projects;ICSE2018_28;yes;yes;na;survey, interviews;
DroidStar: Callback Typestates for Android Classes;ICSE2018_29;yes;no;;;
GUILeak: Tracing Privacy Policy Claims on User Input Data for Android Applications;ICSE2018_3;yes;no;;;
Fine-Grained Test Minimization;ICSE2018_30;yes;no;;;
Hybrid Regression Test Selection;ICSE2018_31;yes;no;;;
ConflictJS: Finding and Understanding Conflicts Between JavaScript Libraries;ICSE2018_32;yes;no;;;
How Modern News Aggregators Help Development Communities Shape and Share Knowledge;ICSE2018_33;yes;yes;na;interviews/survey;
Launch-Mode-Aware Context-Sensitive Activity Transition Analysis;ICSE2018_34;yes;no;;;
Augusto: Exploiting Popular Functionalities for the Generation of Semantic GUI Tests with Oracles;ICSE2018_35;yes;no;;;
UFO: Predictive Concurrency Use-After-Free Detection;ICSE2018_36;yes;no;;;
Inferring Hierarchical Motifs from Execution Traces;ICSE2018_37;yes;yes;s;Controlled experiment, evaluation of interactive visualization tool to aid program comprehension. Two groups: with tool/user's choice, three tasks. Individually discussed;Comprehension tasks: understand feature, locate code, ..
Search-Based Test Data Generation for SQL Queries;ICSE2018_38;yes;no;;;
Sentiment Analysis for Software Engineering: How Far Can We Go?;ICSE2018_39;yes;no;;;
Identifying Patch Correctness in Test-Based Program Repair;ICSE2018_4;yes;no;;;
Deuce: A Lightweight User Interface for Structured Editing;ICSE2018_40;yes;yes;s, but necessary;Controlled user study, evaluation of structure-aware code editor, six tasks;Refactoring, code writing
Multi-objective Integer Programming Approaches for Solving Optimal Feature Selection Problem: A New Perspective on Multi-objective Optimization Problems in SBSE;ICSE2018_41;yes;no;;;
Redefining Prioritization: Continuous Prioritization for Continuous Integration;ICSE2018_42;yes;no;;;
Chopped Symbolic Execution;ICSE2018_43;yes;no;;;
Context-Aware Patch Generation for Better Automated Program Repair;ICSE2018_44;yes;no;;;
Perses: Syntax-Guided Program Reduction;ICSE2018_45;yes;no;;;
A Graph Solver for the Automated Generation of Consistent Domain-Specific Models;ICSE2018_46;yes;no;;;
Assessing the Threat of Untracked Changes in Software Evolution;ICSE2018_47;yes;no;;;
Collective Program Analysis;ICSE2018_48;yes;no;;;
Do Programmers Work at Night or During the Weekend?;ICSE2018_49;yes;no;;;
Semantic Program Repair Using a Reference Implementation;ICSE2018_5;yes;no;;;
Automated Localization for Unreproducible Builds;ICSE2018_50;yes;no;;;
Efficient Sampling of SAT Solutions for Testing;ICSE2018_51;yes;no;;;
Debugging with Intelligence via Probabilistic Inference;ICSE2018_52;yes;yes;s;Evaluation of novel debugger. Two groups: with novel tool/default debugger. Tasks are individually presented and discussed.;Debug four buggy programs
Inheritance Usage Patterns in Open-Source Systems;ICSE2018_53;yes;no;;;
Identifying Design Problems in the Source Code: A Grounded Theory;ICSE2018_54;yes;yes;na;grounded theory, industry;
From UI Design Image to GUI Skeleton: A Neural Machine Translator to Bootstrap Mobile GUI Implementation;ICSE2018_55;yes;yes;av;Evaluate GUI tool. Two groups: with/without tool. Results and discussion on average of all five tasks.;Implement skeleton GUI
Neuro-Symbolic Program Corrector for Introductory Programming Assignments;ICSE2018_56;yes;no;;;
Do You Remember This Source Code?;ICSE2018_57;yes;yes;na;survey;
Software Protection on the Go: A Large-Scale Empirical Study on Mobile App Obfuscation;ICSE2018_58;yes;no;;;
Goal-Conflict Likelihood Assessment Based on Model Counting;ICSE2018_59;yes;no;;;
Automated Reporting of GUI Design Violations for Mobile Apps;ICSE2018_6;yes;yes;na;survey/interviews;
Does the Propagation of Artifact Changes Across Tasks Reflect Work Dependencies?;ICSE2018_60;yes;no;;;
To Preserve or Not to Preserve Invalid Solutions in Search-Based Software Engineering: A Case Study in Software Product Lines;ICSE2018_61;yes;no;;;
Debugging Data Flows in Reactive Programs;ICSE2018_62;yes;yes;s, but tasks are too different to be combined;Novel tool to help reactive programming. Two groups: classic IDE vs. rxfiddle;Programming problems: find bug/describe possible solution
Inferring and Asserting Distributed System Invariants;ICSE2018_63;yes;no;;;
Enlightened Debugging;ICSE2018_64;yes;yes;both;Two user studies (different difficulty levels), Evaluation of interactive, feedback-driven fault localization technique, two groups: with/without novel tool. Tasks are individually discussed, but at the end tool effect is on averages.;Debug error
Speedoo: Prioritizing Performance Optimization Opportunities;ICSE2018_65;yes;no;;;
Leveraging Program Analysis to Reduce User-Perceived Latency in Mobile Applications;ICSE2018_66;yes;no;;;
Are Code Examples on an Online Q&A Forum Reliable?: A Study of API Misuse on Stack Overflow;ICSE2018_67;yes;no;;;
"Is ""Better Data"" Better Than ""Better Data Miners""?";ICSE2018_68;yes;no;;;
"""Was My Contribution Fairly Reviewed?"" A Framework to Study the Perception of Fairness in Modern Code Reviews";ICSE2018_69;yes;yes;na;qualitative study;
DetReduce: Minimizing Android GUI Test Suites for Regression Testing;ICSE2018_7;yes;no;;;
Program Splicing;ICSE2018_70;yes;yes;s;Evaluate novel tool, within-subject design, individual results are discussed;Four programming tasks: implementations
How not to Structure Your Database-Backed Web Applications: A Study of Performance Bugs in the Wild;ICSE2018_71;yes;no;;;
Are Mutation Scores Correlated with Real Fault Detection? A Large Scale Empirical Study on the Relationship Between Mutants and Real Faults;ICSE2018_72;yes;no;;;
A Temporal Permission Analysis and Enforcement Framework for Android;ICSE2018_73;yes;no;;;
The Road to Live Programming: Insights from the Practice;ICSE2018_74;yes;yes;na;Exploratory study, survey;
Spatio-Temporal Context Reduction: A Pointer-Analysis-Based Static Approach for Detecting Use-After-Free Vulnerabilities;ICSE2018_75;yes;no;;;
Statistical Learning of API Fully Qualified Names in Code Snippets of Online Forums;ICSE2018_76;yes;no;;;
FAST Approaches to Scalable Similarity-Based Test Case Prioritization;ICSE2018_77;yes;no;;;
Precise Concolic Unit Testing of C Programs Using Extended Units and Symbolic Alarm Filtering;ICSE2018_78;yes;no;;;
Automatically Finding Bugs in a Commercial Cyber-Physical System Development Tool Chain With SLforge;ICSE2018_79;yes;no;;;
Time to Clean Your Test Objectives;ICSE2018_8;yes;no;;;
Almost There: A Study on Quasi-Contributors in Open-Source Software Projects;ICSE2018_80;yes;yes;na;survey;
CCAligner: A Token Based Large-Gap Clone Detector;ICSE2018_81;yes;no;;;
Nemo: Multi-criteria Test-Suite Minimization with Integer Nonlinear Programming;ICSE2018_82;yes;no;;;
Automatically Generating Search Heuristics for Concolic Testing;ICSE2018_83;yes;no;;;
EnMobile: Entity-Based Characterization and Analysis of Mobile Malware;ICSE2018_84;yes;no;;;
Towards Refactoring-Aware Regression Test Selection;ICSE2018_85;yes;no;;;
Understanding Developers' Needs on Deprecation as a Language Feature;ICSE2018_86;yes;yes;na;interviews/survey;
Symbolic Verification of Regular Properties;ICSE2018_87;yes;no;;;
Propagating Configuration Decisions with Modal Implication Graphs;ICSE2018_88;yes;no;;;
Reducer-Based Construction of Conditional Verifiers;ICSE2018_89;yes;no;;;
DeFlaker: Automatically Detecting Flaky Tests;ICSE2018_9;yes;no;;;
When Testing Meets Code Review: Why and How Developers Review Tests;ICSE2018_90;yes;yes;na;interviews;
DeepTest: Automated Testing of Deep-Neural-Network-Driven Autonomous Cars;ICSE2018_91;yes;no;;;
Dataflow Tunneling: Mining Inter-Request Data Dependencies for Request-Based Applications;ICSE2018_92;yes;no;;;
Online App Review Analysis for Identifying Emerging Issues;ICSE2018_93;yes;yes;na;survey;
Context-Aware Conversational Developer Assistants;ICSE2018_94;yes;yes;na;Largely qualititative/interviews;
Synthesizing Qualitative Research in Software Engineering: A Critical Review;ICSE2018_95;yes;yes;na;Small part, requested original authors' feedback;
Prioritizing Browser Environments for Web Application Test Execution;ICSE2018_96;yes;no;;;
Static Automated Program Repair for Heap Properties;ICSE2018_97;yes;no;;;
Traceability in the Wild: Automatically Augmenting Incomplete Trace Links;ICSE2018_98;yes;no;;;
On the Dichotomy of Debugging Behavior Among Programmers;ICSE2018_99;yes;yes;na;Qualitative mixed methods: survey, observations, interviews;
